"biomass","site","habitat","year","subsite"
0.35,"A","Creek",2000,"1"
0,"A","Reef",2000,"1"
0,"A","Creek",2000,"3"
1.07,"A","Reef",2000,"3"
3.17,"A","Creek",2000,"4"
0.41,"A","Reef",2000,"4"
0,"A","Reef",2000,"5"
0,"B","Creek",2000,"1"
1.1,"B","Reef",2000,"1"
5.3,"B","Creek",2000,"2"
0,"B","Creek",2000,"3"
0,"B","Creek",2000,"4"
0.62,"B","Creek",2000,"5"
2.84,"B","Reef",2000,"5"
0,"C","Creek",2000,"1"
0,"C","Reef",2000,"1"
1.72,"C","Creek",2000,"2"
0,"C","Reef",2000,"2"
2.24,"C","Creek",2000,"3"
0,"C","Reef",2000,"3"
0,"C","Reef",2000,"4"
0,"C","Creek",2000,"5"
0,"D","Creek",2000,"1"
0.63,"D","Reef",2000,"1"
1.27,"D","Reef",2000,"2"
0,"D","Creek",2000,"3"
0.72,"D","Reef",2000,"3"
0,"D","Creek",2000,"4"
0.46,"D","Reef",2000,"4"
0,"D","Creek",2000,"5"
2.25,"D","Reef",2000,"5"
0.39,"A","Creek",2001,"1"
0,"A","Reef",2001,"1"
0,"A","Reef",2001,"2"
0.96,"A","Creek",2001,"3"
0,"A","Reef",2001,"3"
0.91,"A","Creek",2001,"4"
1.96,"A","Creek",2001,"5"
0,"A","Reef",2001,"5"
0.74,"B","Creek",2001,"1"
3.91,"B","Reef",2001,"1"
0,"B","Creek",2001,"2"
0,"B","Reef",2001,"2"
0,"B","Creek",2001,"3"
1.35,"B","Reef",2001,"3"
0,"B","Creek",2001,"4"
3.33,"B","Reef",2001,"4"
0,"B","Creek",2001,"5"
0,"B","Reef",2001,"5"
1.13,"C","Creek",2001,"1"
1.58,"C","Reef",2001,"1"
0,"C","Creek",2001,"2"
0.4,"C","Reef",2001,"2"
0.62,"C","Creek",2001,"3"
0,"C","Reef",2001,"3"
0,"C","Creek",2001,"4"
1.55,"C","Reef",2001,"5"
0,"D","Creek",2001,"1"
1.57,"D","Reef",2001,"1"
0,"D","Creek",2001,"2"
0,"D","Reef",2001,"2"
0,"D","Creek",2001,"3"
0.64,"D","Reef",2001,"3"
0,"D","Creek",2001,"4"
0,"D","Reef",2001,"4"
1.54,"D","Creek",2001,"5"
0,"D","Reef",2001,"5"
2.56,"A","Creek",2002,"1"
0,"A","Reef",2002,"1"
0,"A","Creek",2002,"2"
1.07,"A","Reef",2002,"2"
0,"A","Creek",2002,"3"
0.74,"A","Reef",2002,"3"
0.28,"A","Reef",2002,"4"
0,"A","Creek",2002,"5"
0.32,"A","Reef",2002,"5"
0,"B","Creek",2002,"1"
3.01,"B","Reef",2002,"1"
1.56,"B","Reef",2002,"2"
0,"B","Creek",2002,"3"
0,"B","Reef",2002,"3"
0,"B","Creek",2002,"4"
4.71,"B","Reef",2002,"4"
0,"B","Creek",2002,"5"
2.94,"B","Reef",2002,"5"
8.21,"C","Creek",2002,"1"
1.3,"C","Reef",2002,"1"
3.7,"C","Creek",2002,"2"
0.73,"C","Reef",2002,"2"
0,"C","Creek",2002,"3"
15.27,"C","Reef",2002,"3"
0,"C","Creek",2002,"4"
1.37,"C","Reef",2002,"4"
0,"C","Creek",2002,"5"
0.81,"C","Reef",2002,"5"
0,"D","Creek",2002,"1"
0,"D","Reef",2002,"1"
0,"D","Creek",2002,"2"
1.87,"D","Reef",2002,"2"
0.53,"D","Reef",2002,"3"
1.23,"D","Reef",2002,"4"
0.38,"D","Creek",2002,"5"
0.87,"D","Reef",2002,"5"
